更新时间: 2026-09-05 06:15:10（北京时间）仅供娱乐,切勿商用。
2026-09-05 06:15:10,http://kakaxi.indevs.in/Disclaimer.mp4
CCTV4欧洲,http://116.236.204.18:1234/608807419
CCTV4欧洲,http://110.154.192.90:7788/608807419
CCTV4欧洲,http://111.231.6.102:1234/608807419
CCTV4欧洲,http://116.52.173.236:1234/608807419
CCTV4欧洲,http://27.12.12.92:1234/608807419
CCTV4欧洲,http://60.168.105.200:5008/608807419
CCTV4欧洲,http://117.63.79.167:1234/608807419
CCTV4欧洲,http://182.61.15.163:80/608807419
CCTV4欧洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4ouhd/51/index.m3u8?msisdn=25f42c6aa81e5e35ce1daf178b020e08&mdspid=&spid=699004&netType=0&sid=2200179315&pid=2028597139&timestamp=20260905052049&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807419&ParentNodeID=-99&assertID=2200179315&client_ip=39.103.182.111&SecurityKey=20260905052049&promotionId=&mvid=2200179315&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=7a7be36f96305cd4499806648378aad4&ddCalcu=47dava7aaby8ea73368f49666300859c9d44&sv=10004&ct=android
CCTV4美洲,http://117.63.79.167:1234/608807416
CCTV4美洲,http://116.52.173.236:1234/608807416
CCTV4美洲,http://110.154.192.90:7788/608807416
CCTV4美洲,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv4meihd/51/index.m3u8?msisdn=3b8e1e23460f98bac4516ef32f7513a3&mdspid=&spid=699004&netType=0&sid=2200179344&pid=2028597139&timestamp=20260905052049&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=608807416&ParentNodeID=-99&assertID=2200179344&client_ip=39.103.188.159&SecurityKey=20260905052049&promotionId=&mvid=2200179344&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=be53fbcff8f99a54ae0250b4ad58b843&ddCalcu=3b4ev85ab3y8fa5bdcaf4fb80f59290ae5a4&sv=10004&ct=android
CCTV4美洲,http://116.236.204.18:1234/608807416
CCTV4美洲,http://182.61.15.163:80/608807416
CCTV4美洲,http://27.12.12.92:1234/608807416
CCTV4美洲,http://111.231.6.102:1234/608807416
CCTV4美洲,http://60.168.105.200:5008/608807416
兵器科技,https://itv.1920.qzz.io/api/ysp.php?id=cctvbqkj
风云音乐,https://itv.1920.qzz.io/api/ysp.php?id=cctvfyyy
风云足球,https://itv.1920.qzz.io/api/ysp.php?id=cctvfyzq
风云剧场,https://itv.1920.qzz.io/api/ysp.php?id=cctvfyjc
怀旧剧场,https://itv.1920.qzz.io/api/ysp.php?id=cctvhjjc
第一剧场,https://itv.1920.qzz.io/api/ysp.php?id=cctvdyjc
女性时尚,https://itv.1920.qzz.io/api/ysp.php?id=cctvnxss
世界地理,https://itv.1920.qzz.io/api/ysp.php?id=cctvsjdl
央视台球,https://itv.1920.qzz.io/api/ysp.php?id=cctvystq
央视文化精品,https://itv.1920.qzz.io/api/ysp.php?id=cctvyswhjp
电视指南,https://itv.1920.qzz.io/api/ysp.php?id=cctvdszn
老故事,http://117.63.79.167:1234/884121956
老故事,http://116.236.204.18:1234/884121956
老故事,http://27.12.12.92:1234/884121956
老故事,http://110.154.192.90:7788/884121956
